Sample,Measurement,Width (µm),Height (µm),Major Axis (µm),Minor Axis (µm),Angle (°)
lpsc,51,156.81,124.24,156.81,124.24,24.18
lpsc,52,156.20,118.04,156.20,118.04,-55.27
lpsc,53,195.50,144.36,195.50,144.36,25.20
lpsc,54,158.26,99.28,158.26,99.28,-12.29
lpsc,55,137.19,95.11,137.19,95.11,-56.95
lpsc,56,106.02,74.93,106.02,74.93,-53.86
lpsc,57,177.86,145.79,177.86,145.79,-11.01
lpsc,58,135.81,99.50,135.81,99.50,-49.69
lpsc,59,121.58,111.90,121.58,111.90,32.73
lpsc,60,194.40,133.77,194.40,133.77,-79.66
lpsc,61,166.90,138.21,166.90,138.21,-59.51
lpsc,62,132.97,85.75,132.97,85.75,-99.68
lpsc,63,127.29,105.32,127.29,105.32,9.98
lpsc,64,151.64,89.78,151.64,89.78,27.38
lpsc,65,146.07,88.05,146.07,88.05,-13.88
lpsc,66,243.97,86.15,243.97,86.15,-30.85
lpsc,67,210.50,108.75,210.50,108.75,70.92
lpsc,68,188.13,104.95,188.13,104.95,29.61
lpsc,69,149.85,86.58,149.85,86.58,49.95
lpsc,70,105.27,92.04,105.27,92.04,-56.06
lpsc,71,196.47,125.68,196.47,125.68,6.58
lpsc,72,227.59,97.17,227.59,97.17,-176.60
lpsc,73,135.91,108.96,135.91,108.96,56.87
lpsc,74,127.80,92.73,127.80,92.73,39.95
lpsc,75,183.41,131.88,183.41,131.88,12.62
lpsc,76,156.31,149.47,156.31,149.47,43.43
lpsc,77,196.23,115.79,196.23,115.79,67.05
lpsc,78,186.70,102.31,186.70,102.31,-9.73
lpsc,79,112.54,94.94,112.54,94.94,115.79
lpsc,80,118.68,69.92,118.68,69.92,37.18
lpsc,81,250.85,174.30,250.85,174.30,54.54
lpsc,82,105.72,67.87,105.72,67.87,26.92
lpsc,83,108.04,80.25,108.04,80.25,132.09
lpsc,84,438.35,98.79,438.35,98.79,26.56
83123A,1,130.92,71.01,130.92,71.01,-66.90
83123A,2,82.52,61.94,82.52,61.94,-131.23
83123A,3,66.53,61.99,66.53,61.99,-159.60
83123A,4,158.49,93.13,158.49,93.13,-124.92
83123A,5,128.58,81.93,128.58,81.93,-66.14
83123A,6,112.52,89.52,112.52,89.52,-41.08
83123A,7,83.76,63.71,83.76,63.71,-130.42
83123A,8,107.92,86.46,107.92,86.46,-74.35
83123A,9,148.29,61.09,148.29,61.09,-36.68
83123A,10,37.17,25.17,37.17,25.17,-128.06
83123A,11,172.30,145.69,172.30,145.69,-72.94
83123A,12,233.67,190.07,233.67,190.07,39.36
83123A,13,119.43,102.44,119.43,102.44,-122.95
83123A,14,121.92,79.43,121.92,79.43,-109.99
83123A,15,91.40,80.34,91.40,80.34,68.42
83123A,16,58.44,58.44,58.44,58.44,-46.99
83123A,17,85.96,77.90,85.96,77.90,-18.32
83123A,18,73.97,35.07,73.97,35.07,-1.57
83123A,19,82.47,67.53,82.47,67.53,33.69
83123A,20,101.48,89.93,101.48,89.93,38.27
83123A,21,63.25,53.03,63.25,53.03,16.30
83123A,22,95.80,57.07,95.80,57.07,-46.36
83123A,23,59.22,48.46,59.22,48.46,-109.70
83123A,24,102.52,83.74,102.52,83.74,-65.92
83123A,25,98.15,98.14,98.15,98.14,-20.03
83123A,26,33.97,31.93,33.97,31.93,-133.79
83123A,27,77.78,64.75,77.78,64.75,-49.81
83123A,28,33.75,23.02,33.75,23.02,-23.35
83123A,29,135.16,120.53,135.16,120.53,-73.80
83123A,30,85.86,78.39,85.86,78.39,170.48
83123A,31,91.74,51.01,91.74,51.01,-22.70
83123A,32,65.40,55.56,65.40,55.56,124.79
83123A,33,79.51,46.50,79.51,46.50,-38.29
83123A,34,59.42,28.70,59.42,28.70,-17.52
83123A,35,295.72,275.79,295.72,275.79,-70.43
83123A,36,122.38,71.05,122.38,71.05,14.88
83123A,37,181.31,71.99,181.31,71.99,-44.99
83123A,38,132.34,110.79,132.34,110.79,-61.38
83123A,39,152.92,108.47,152.92,108.47,-35.44
83123A,40,276.82,267.05,276.82,267.05,-58.38
83123A,41,135.51,78.46,135.51,78.46,-114.22
83123A,42,51.49,55.74,51.49,55.74,-70.38
83123A,43,86.75,60.18,86.75,60.18,-4.12
83123A,44,158.44,121.89,158.44,121.89,-82.37
83123A,45,165.66,101.64,165.66,101.64,-79.38
83123A,46,81.87,81.88,81.87,81.88,-80.20
83123A,47,143.08,128.29,143.08,128.29,-78.77
83123A,48,139.22,68.81,139.22,68.81,-113.89
83123A,49,235.24,162.33,235.24,162.33,30.58
83123A,50,423.39,210.45,423.39,210.45,100.39
83123A,51,231.26,185.48,231.26,185.48,-4.60
83123A,52,355.84,284.09,355.84,284.09,58.62
83123A,53,103.89,70.18,103.89,70.18,-97.08
83123A,54,150.81,120.91,150.81,120.91,4.55
83123A,55,173.47,134.67,173.47,134.67,-86.93
83123A,56,264.40,107.86,264.40,107.86,-155.26
83123A,57,152.28,121.52,152.28,121.52,1.13
83123A,58,207.04,146.02,207.04,146.02,-94.72
83123A,59,277.93,194.41,277.93,194.41,110.77
83123A,60,76.19,66.56,76.19,66.56,-122.37
83123A,61,104.36,83.22,104.36,83.22,-83.04
83123A,62,236.33,155.54,236.33,155.54,-19.66
83123A,63,229.06,166.60,229.06,166.60,160.99
83123A,64,244.87,176.25,244.87,176.25,-101.96
83123A,65,46.62,46.63,46.62,46.63,-78.11
83123A,66,112.18,103.12,112.18,103.12,-53.90
83123A,67,130.91,108.11,130.91,108.11,-76.64
83123A,68,85.64,76.31,85.64,76.31,-68.05
83123A,69,78.93,68.66,78.93,68.66,-94.61
83123A,70,169.65,94.75,169.65,94.75,-155.13
83123A,71,139.66,74.44,139.66,74.44,-104.58
83123A,72,94.18,55.81,94.18,55.81,-105.47
83123A,73,84.18,41.78,84.18,41.78,37.52
83123A,74,81.67,81.68,81.67,81.68,-61.17
83123A,75,123.66,101.28,123.66,101.28,-54.65
83123A,76,59.52,59.53,59.52,59.53,104.49
83123A,77,92.22,71.54,92.22,71.54,-108.80
83123A,78,175.75,72.75,175.75,72.75,-128.84
83123A,79,130.91,86.91,130.91,86.91,75.27
83123A,80,113.72,78.86,113.72,78.86,20.31
83123A,81,99.32,54.33,99.32,54.33,-44.99
83123A,82,170.12,133.42,170.12,133.42,92.58
83123A,83,127.89,114.36,127.89,114.36,-114.31
83123A,84,90.57,77.81,90.57,77.81,83.62
83123A,85,55.91,69.42,55.91,69.42,-19.49
83123A,86,162.60,111.46,162.60,111.46,47.09
83123A,87,113.40,69.19,113.40,69.19,-1.99
83123A,88,68.73,61.81,68.73,61.81,-114.08
83123A,89,90.79,64.36,90.79,64.36,89.57
90423A,1,451.54,136.14,451.54,136.14,-55.63
90423A,2,160.66,19.69,160.66,19.69,-12.68
90423A,3,35.64,35.65,35.64,35.65,-75.96
90423A,4,126.52,28.40,126.52,28.40,3.88
90423A,5,54.12,22.58,54.12,22.58,-38.08
90423A,6,58.16,31.35,58.16,31.35,5.27
90423A,7,44.27,43.23,44.27,43.23,-90.64
90423A,8,231.44,44.56,231.44,44.56,82.57
90423A,9,159.82,138.32,159.82,138.32,-53.32
90423A,10,30.31,30.32,30.31,30.32,-93.63
90423A,11,72.20,57.81,72.20,57.81,33.82
90423A,12,81.38,55.01,81.38,55.01,-56.03
90423A,13,38.09,28.57,38.09,28.57,-73.39
90423A,14,85.61,61.12,85.61,61.12,-8.13
90423A,15,113.09,62.20,113.09,62.20,-34.30
90423A,16,34.39,19.60,34.39,19.60,-53.97
90423A,17,223.33,132.59,223.33,132.59,-35.41
90423A,18,282.24,183.31,282.24,183.31,-79.28
90423A,19,41.38,30.09,41.38,30.09,-65.48
90423A,20,48.74,35.59,48.74,35.59,-86.91
90423A,21,77.83,28.85,77.83,28.85,-92.86
90423A,22,95.80,29.77,95.80,29.77,-10.22
90423A,23,28.59,23.95,28.59,23.95,-63.17
90423A,24,45.24,24.18,45.24,24.18,-6.84
90423A,25,29.64,24.79,29.64,24.79,-31.53
90423A,26,69.94,34.77,69.94,34.77,32.59
90423A,27,78.46,30.63,78.46,30.63,-48.81
90423A,28,71.58,45.65,71.58,45.65,-88.19
90423A,29,334.57,299.64,334.57,299.64,-5.61
90423A,30,46.59,34.50,46.59,34.50,-73.83
90423A,31,95.60,65.84,95.60,65.84,-87.91
90423A,32,31.58,27.60,31.58,27.60,-63.65
90423A,33,152.64,31.60,152.64,31.60,-106.79
90423A,34,110.15,52.01,110.15,52.01,28.69
90423A,35,33.99,30.99,33.99,30.99,130.61
90423A,36,82.83,31.67,82.83,31.67,139.31
90423A,37,73.10,28.72,73.10,28.72,-20.55
90423A,38,33.44,33.45,33.44,33.45,-68.96
90423A,39,35.56,31.70,35.56,31.70,-90.00
90423A,40,49.40,29.67,49.40,29.67,-60.94
90423A,41,49.03,49.04,49.03,49.04,-75.83
90423A,42,41.65,26.88,41.65,26.88,-71.24
90423A,43,89.19,40.44,89.19,40.44,-175.92
90423A,44,34.31,23.11,34.31,23.11,-47.06
90423A,45,42.22,27.19,42.22,27.19,-35.65
90423A,46,122.93,112.75,122.93,112.75,-45.70
90423A,47,145.66,44.08,145.66,44.08,-66.22
90423A,48,63.20,49.44,63.20,49.44,-11.20
90423A,49,58.21,54.60,58.21,54.60,8.34
90423A,50,56.74,56.74,56.74,56.74,-43.28
90423A,51,73.28,45.65,73.28,45.65,-88.19
90423A,52,27.03,27.04,27.03,27.04,-102.31
90423A,53,56.27,50.93,56.27,50.93,-69.00
90423A,54,148.77,27.92,148.77,27.92,49.18
90423A,55,156.86,19.88,156.86,19.88,52.85
90423A,56,38.02,29.04,38.02,29.04,-34.21
90423A,57,33.62,26.52,33.62,26.52,47.93
90423A,58,46.66,31.37,46.66,31.37,-64.61
90423A,59,67.98,21.06,67.98,21.06,-24.22
90423A,60,91.73,27.04,91.73,27.04,-56.59
90423A,61,112.29,50.25,112.29,50.25,125.67
90423A,62,70.48,59.22,70.48,59.22,18.43
90423A,63,144.00,118.37,144.00,118.37,-48.28
90423A,64,39.52,30.93,39.52,30.93,-25.77
90423A,65,443.01,257.58,443.01,257.58,144.57
90423A,66,52.30,28.65,52.30,28.65,50.44
90423A,67,36.14,31.04,36.14,31.04,-25.17
90423A,68,53.25,35.23,53.25,35.23,-101.01
90423A,69,37.38,26.20,37.38,26.20,41.28
90423A,70,221.18,27.88,221.18,27.88,-10.92
90423A,71,60.95,40.87,60.95,40.87,-60.42
90423A,72,182.65,33.77,182.65,33.77,29.84
90423A,73,53.32,33.62,53.32,33.62,45.57
90423A,74,142.32,26.49,142.32,26.49,135.01
90423A,75,102.04,27.47,102.04,27.47,36.46
90423A,76,71.69,32.40,71.69,32.40,39.58
90423A,77,35.59,33.14,35.59,33.14,-89.17
90423A,78,27.56,18.69,27.56,18.69,-64.09
90423A,79,77.47,12.47,77.47,12.47,-15.64
90423A,80,33.74,33.74,33.74,33.74,-85.10
90423A,81,37.06,26.23,37.06,26.23,23.75
90423A,82,34.77,34.77,34.77,34.77,-57.40
90423A,83,55.15,33.90,55.15,33.90,-97.33
90423A,84,70.02,54.23,70.02,54.23,22.93
90423A,85,78.19,39.86,78.19,39.86,-53.82
90423A,86,27.98,27.97,27.98,27.97,-11.89
90423A,87,100.58,50.66,100.58,50.66,-84.56
90423A,88,106.70,36.94,106.70,36.94,-102.77
90423A,89,169.68,94.50,169.68,94.50,-152.79
90423A,90,36.62,23.07,36.62,23.07,2.39
